sent notifications from a case,insight text,
Emails Configurations,preparing e-mail texts depending on particular case - to avoid numerous e-mail templates and corresponding tasks,https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"Organization admins should get a notification when an email send to a user's email address bounces, resulting in user's email address being put on SES suppression list.
This is important because even when the problem with the user's email is resolved, they will remain on the suppression list and all SPG email will stop being delivered until they are removed.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"https://jira.signavio.com/browse/SCS-29334
Right now with the provided solution we will have to reach out to each user and ask them to uncheck the subscription under my profile. However, we are looking for more feasible option at the product level which is by default the setting should be uncheck.
If user requires notification then we can always ask them to select checkbox.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"It should be possible to change the content of the e-mail notification sent by Process Governance.
----
Original message:
Guten Tag,
 
ich würde gerne wissen ob man die automatisch generierte E-Mail-Benachrichtigung an BPOs an einer Stelle umschreiben kann. Konkret geht es um den Fall, wenn einem BPO eine Aufgabe zugewiesen wird. In der automatisch versendeten Mail wird ein Link angegeben, der bei uns zu großen Problemen führt, ich würde hier stattdessen gern auf den Bereich ‚Aufgaben‘ des Hub Next verlinken. Ist das möglich?",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"<i>Via Nader…</i>
Is there any way to deactivate the ""Receive notifications via email"" automatically for all users - as an admin command? The client want's to model a mail task infront of every important user task. So right now the user received 2 mails - one directly and another one after 5 mins. They don't like the system notification at all. But they don't want to ask every process owner to deactivate the notification.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"Is there any way to deactivate the ""Receive notifications via email"" automatically for all users - as an admin command? The client want's to model a mail task infront of every important user task. So right now the user received 2 mails - one directly and another one after 5 mins. They don't like the system notification at all. But they don't want to ask every process owner to deactivate the notification.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"They messed up in the past their due date actions and since some cases have a very long run time, they get spammed by mails, although they already selected not to receive notifications.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"IWB, the automatic notification emails are frequently reported as supicious / spam, any necessary notification is modelled into the workflow itself",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"I have a quick question about a feature in our workflow. I’m curious if instead of getting constant individual emails, is there a way to set it up so users just receive 1 daily email with everything in their queue?",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"Currently, a user can not be specific on what emails they want to receive. Can the preferences for receiving notifications via email be more granular and have more option selections on what emails to sen",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"Having the capability of configuring if a ""candidate user for a task"" receive a notification or not",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"Users receive daily notifications that everything in the organizationWorkflow - Profile - ""Get Daily Summary""User must at all this click itselfCustomer is NOT (must go now to each user and ""demand"" this) happy with this manual workloaddoes not want any all information obtained since the colleagues thus are not always happy ...",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Configurations,"Hello workflow team,Daimler is sending target e-mails with to-dos to users of a workflow. These users will get another automated e-mail from the workflow systems again about 5 min later informing them of an open task. Am I correct in the assumtion that the automated e-mails with the info that a task has to be done by a user will no longer be send once a user deactivates the option ""receive notifications via email"" ?",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkN2UwYTI1ZC01NTQ2LTQxYTktYjFiMy01OWM2ZGM1M2RlOTQ=
Emails Look & Feel,"USAA would like the ability to remove the auto-generated Workflow case numbers that are included in Signavio summary emails. Currently, USAA uses a different numbering system for their users to keep track, and don’t want the inclusion of a case number to cause any confusion.",
Emails Look & Feel,Changing content or layout of the reminder mail in any way. The prospect just doesn’t like the overall appearance,https://signavio.productboard.com/detail/MTpQbUVudGl0eTplNWU4MTRlYi03ZDRjLTRhNGMtYWEwNy0yMTZmOTkzYjllMGI=
Emails Look & Feel,"Stadtwerke asked for options to modify the look and feel of task notification mails, as well as the daily digest mails",https://signavio.productboard.com/detail/MTpQbUVudGl0eTplNWU4MTRlYi03ZDRjLTRhNGMtYWEwNy0yMTZmOTkzYjllMGI=
Emails Look & Feel,Improve notification grouping,https://signavio.productboard.com/detail/MTpQbUVudGl0eTplNWU4MTRlYi03ZDRjLTRhNGMtYWEwNy0yMTZmOTkzYjllMGI=
Emails Look & Feel,Improve notification grouping,https://signavio.productboard.com/detail/MTpQbUVudGl0eTplNWU4MTRlYi03ZDRjLTRhNGMtYWEwNy0yMTZmOTkzYjllMGI=
Emails Look & Feel,"Configuring content, look and sender / subject of built-in notifications important to increase tool acceptance. E-Mails often marked s SPAM, neglected and management does not react to them, as they seem unimportant, not from within organization.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTplNWU4MTRlYi03ZDRjLTRhNGMtYWEwNy0yMTZmOTkzYjllMGI=
workflow tasks notification configuration,"Request Details: We would like to request the inclusion of a functionality that allows users to exclude weekends and holidays when configuring reminders and escalations in Process Governance. Currently, it is only possible to include reminders and escalation times in days, without considering weekends and holidays.
Use Case: This feature would be particularly helpful in scenarios where tasks within a workflow have strict deadlines and it is necessary to ensure timely completion. For example, in a customer onboarding process, it may be required to send a reminder to the assigned team member if a task is not completed within two working days. However, if the task is assigned on a Friday, including the intervening weekend in the calculation may cause delays and misalignment with the desired timeline.
Pain Points: The current lack of functionality to exclude weekends and holidays in reminders and escalations can lead to inefficiencies and delays in task completion. It may also result in incorrect communication of deadlines to team members, impacting overall process governance and adherence.
Benefits: By incorporating the ability to exclude weekends and holidays in reminders and escalations, Process Governance users will be able to configure more accurate and realistic timelines for task completion. This will enable better alignment with business requirements, improve efficiency, and enhance overall process governance. Task owners will receive timely reminders and escalations that consider working days, leading to smoother and more efficient workflow execution.
Overall, we believe that the addition of this functionality would be a valuable enhancement to Process Governance, ensuring more effective task management and better support for process governance needs.",https://signavio.productboard.com/detail/MTpQbUVudGl0eToyNDViZTBhNS1hOGUwLTQxYjUtYWY0MS1iYjA2ODM1MWNjNTA=
Sending notification from customer's domain,"Request from customer:
Our mail system classifies incoming external mails as such, so that important tasks may only be observed and completed by users with a delay.
For this reason, our IT could set up a sub-domain which could be ceded to SAP Signavio for MF-used cloud services.
This is a great pity that there is no such option, especially since we use other cloud products from the SAP family (SAP Success Factors) where this is possible. A unified solution within the SAP family would be highly desirable here.
Currently, we do not offer any possibility for sending e-mails with customer's domains. In general, it is possible, not know if there is this possibility on our AWS.
Source: https://itsm.services.sap/now/workspace/agent/record/sn_customerservice_case/510d253147787990c7065cbd436d43d1/params/selected-tab-index/0",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpkMWI1NGM0MS01OTY0LTQwMWUtYTFmYy1kNTJlN2ExYWYzNWM=
Enable email digest configuration for workflow tasks,"They see optimization potential for the notifications.
For example, that one receives one ""collective"" mail for tasks that one has to complete within PG. Instead of 5 separate approval mails, only one mail summarizing the 5 pending approvals. In the sense of clarity and reduction of the amount of emails.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpmMDQxYmE5NS1iMGM1LTRjOGYtYWJkYi1hOGViMmU4NDYyNTg=
Remove auto generated case numbers from notification emails,"USAA would like the ability to remove the auto-generated Workflow case numbers that are included in Signavio summary emails. Currently, USAA uses a different numbering system for their users to keep track, and don�t want the inclusion of a case number to cause any confusion.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTpjMTQ2NTA1OS03YTE3LTRiMWQtYWUxNi1iMjYxOGRhOTg3NWQ=
improve mail content on cases,"Hi all,
customer ZEISS was asking about the reason to show ""other cases"" in the daily update mail. They consider it to be spam. Is there a rationale why a normal user would see other cases of the same process where they are not involved?

Any chance we can change that behavior?

Best
Christian",https://signavio.productboard.com/detail/MTpQbUVudGl0eTplNmI4NzA2ZS01MmU0LTRhMDUtOTExOC1hYmYyYTFmNjY4ZTA=
Configure notification mail format,"When the workflow is triggered, system automatically sends approver a notification mail.
however, the mail format is not so user friendly and sophisticated. Customer prefers to configure the mail format by themself.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo3MWY1NjAxZC1lYmVkLTQ5ZDMtOWRiMy1iMmNjZjk1YWQyMmM=
Add corporate design to emails,"As a governance-admin, I want to be able to use my corporate design for the automated e-mails coming from Process Governance, in order to avoid concerns of the users of phishing-mails.",https://signavio.productboard.com/detail/MTpQbUVudGl0eTo3Njc1MjdhZS0wOTQ3LTRhZDItOTBiZC1jZmU0MmU4MzE1MmE=
